N,Triton,Torch
1024.000000,307.200008,356.173905
1536.000000,361.411771,400.695643
2048.000000,406.214885,413.042029
2560.000000,461.954908,393.846167
3072.000000,485.052653,359.648774
3584.000000,505.976473,353.975305
4096.000000,525.689846,353.611521
4608.000000,539.473160,340.283076
5120.000000,558.545450,331.212936
5632.000000,565.556483,330.484107
6144.000000,576.000001,317.793096
6656.000000,580.887276,321.416498
7168.000000,589.150662,319.762069
7680.000000,592.668790,319.999989
8192.000000,601.247730,314.070291
8704.000000,616.212406,309.934714
9216.000000,619.563005,305.502770
9728.000000,627.612887,303.210396
10240.000000,628.542186,299.342257
10752.000000,627.854035,297.633210
11264.000000,634.591530,297.726876
11776.000000,636.540534,295.014608
12288.000000,636.958958,291.992077
12800.000000,640.000016,292.015215
13312.000000,644.129041,291.503659
13824.000000,640.494226,293.607082
14336.000000,640.715067,292.074701
14848.000000,645.565203,288.777966
15360.000000,645.604223,288.450715
15872.000000,646.736839,287.492839
