N,Triton,Torch
1024.000000,512.000001,528.516136
1536.000000,571.534884,558.545450
2048.000000,585.142849,564.965503
2560.000000,602.352931,576.901391
3072.000000,599.414644,585.142862
3584.000000,610.042536,591.175279
4096.000000,624.152386,601.247704
4608.000000,614.400016,589.823972
5120.000000,615.939877,593.623175
5632.000000,625.777756,600.746638
6144.000000,626.140119,599.414644
6656.000000,637.700577,615.583840
7168.000000,640.715101,623.304334
7680.000000,639.999977,620.606079
8192.000000,645.674867,621.194295
8704.000000,638.825685,624.502255
9216.000000,643.912671,627.472342
9728.000000,643.173568,625.092359
10240.000000,642.509825,625.343543
10752.000000,637.155580,621.054121
11264.000000,639.092213,623.612481
11776.000000,645.260248,623.894039
12288.000000,644.616406,620.214515
12800.000000,642.006243,616.867477
13312.000000,647.392093,619.162791
13824.000000,648.633419,616.111424
14336.000000,649.790349,611.669328
14848.000000,652.659328,607.590779
15360.000000,650.158735,600.880195
15872.000000,651.158973,593.345795
